Perfume ID,Name,Brand Name,Collection,Osobine,Gender,year_released,Comments Number,Slug,overall rating,rating count,country_origin,thumbnailUrl,fullSizeUrl,url,Recent Magnitude,season,best_for,main accords,top notes,middle notes,base notes,description,longevity,sillage,price for value,similar perfumes,recommended perfumes,Best_SKU,Best_Title,Best_Vendor,Best_Price,Best_Volume_ML,Best_Unit_Price,Best_Empresa,pricePerML,Occasions
40405,L'Aventure,Al Haramain Perfumes,L'Aventure Collection,Chypre Fruity,male,2016,351,Al-Haramain-Perfumes/L-Aventure,4.2059,2287.0,United Arab Emirates,https://fimgs.net/mdimg/perfume/m.40405.jpg,https://fimgs.net/mdimg/perfume/375x500.40405.jpg,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/L-Aventure-40405.html,3769,Spring,Day,"citrus, aromatic, woody, musky, fresh spicy, powdery, white floral","Lemon, Bergamot, elemi","Woody Notes, Jasmine, Lily-of-the-Valley","Musk, Patchouli, Amber","L'AventurebyAl Haramain Perfumesis a Chypre Fruity fragrance for men.L'Aventurewas launched in 2016. Top notes are Lemon, Bergamot and elemi; middle notes are Woody Notes, Jasmine and Lily-of-the-Valley; base notes are Musk, Patchouli and Amber.",0.606,0.4437,0.7432,"9828, 34696, 52002, 50122, 27352, 30697, 45687, 58870, 72842, 25890, 77861, 52268, 92647, 47001, 58565, 15211, 35801, 66476, 41963, 53368","34696, 9828, 31861, 2318, 5521, 17, 29727, 13016, 40031, 31909, 39029, 9099, 1834, 15211, 16657, 410, 25967, 721, 26358, 644",1ALHLAVENTUREPHUN100,Aventure al haramain 100 ml edp hombre,Al haramain,29990.0,100.0,299.9,lodoro,299.9,"Casual, Deporte, Formal, Oficina, Viaje"
77800,Mod Blush,Ariana Grande,Mod Collection,,female,2022,191,Ariana-Grande/Mod-Blush,3.8254,1094.0,United States,https://fimgs.net/mdimg/perfume/m.77800.jpg,https://fimgs.net/mdimg/perfume/375x500.77800.jpg,https://www.fragrantica.com/perfume/Ariana-Grande/Mod-Blush-77800.html,3750,Spring,Day,"fruity, sweet, musky, rose, floral, citrus, tropical, powdery, fresh, amber","Raspberry, Passionfruit, Pink Pepper, Bergamot","Rose, Pear, Magnolia","Musk, Ambroxan, Dreamwood, Sandalwood","Mod BlushbyAriana Grandeis a fragrance for women. This is a new fragrance.Mod Blushwas launched in 2022. The nose behind this fragrance is Frank Voelkl. Top notes are Raspberry, Passionfruit, Pink Pepper and Bergamot; middle notes are Rose, Pear and Magnolia; base notes are Musk, Ambroxan, Dreamwood and Sandalwood.",0.4383,0.2906,0.6092,"31661, 78576, 39970, 10190, 56260, 57377, 16078, 93613, 72676, 94882, 79322, 60891, 4956, 76986, 51371, 66909, 34547, 67541, 46410, 25958","77799, 50384, 31661, 39970, 70052, 68664, 62578, 83995, 56741, 46410, 25324, 55805, 52616, 600, 51694, 56062, 39681, 83483, 14982, 68367",ARGR34,Ariana grande mod blush edp 100ml ariana grande,Ariana grande,50990.0,100.0,509.9,silkperfumes,509.9,"Formal, Oficina, Viaje"
68627,Hero,Burberry,Hero,Woody Spicy,male,2021,291,Burberry/Hero,3.9079,2030.0,United Kingdom,https://fimgs.net/mdimg/perfume/m.68627.jpg,https://fimgs.net/mdimg/perfume/375x500.68627.jpg,https://www.fragrantica.com/perfume/Burberry/Hero-68627.html,3738,Spring,Day,"woody, fresh spicy, aromatic, citrus",Bergamot,"Juniper, Black Pepper","Atlas Cedar, Virginian Cedar, Himalayan Cedar","HerobyBurberryis a Woody Spicy fragrance for men.Herowas launched in 2021. The nose behind this fragrance is Aurélien Guichard. Top note is Bergamot; middle notes are Juniper and Black Pepper; base notes are Atlas Cedar, Virginian Cedar and Himalayan Cedar.",0.4735,0.2849,0.4935,"75182, 55797, 90069, 75282, 59835, 59433, 56163, 87367, 17117, 78018, 71505, 64338, 35659, 56358, 51221, 56273, 12350, 35530, 31720, 36336","50757, 5521, 68415, 61856, 25967, 13016, 17, 40031, 9828, 31861, 52002, 2318, 39029, 16657, 29727, 31909, 59532, 52180, 9099, 410",01CTYBURHEROEPMS2100,Burberry hero edp 100 ml + 10 ml set 2 pcs hombre,Burberry,87990.0,100.0,879.9,lodoro,879.9,"Casual, Deporte, Formal, Oficina, Viaje"
59904,TriBeCa,Bond No 9,,Oriental Vanilla,unisex,2020,196,Bond-No-9/TriBeCa,4.1436,773.0,United States,https://fimgs.net/mdimg/perfume/m.59904.jpg,https://fimgs.net/mdimg/perfume/375x500.59904.jpg,https://www.fragrantica.com/perfume/Bond-No-9/TriBeCa-59904.html,3734,Autumn,Night,"amber, caramel, woody, nutty, sweet, cacao, white floral, musky, warm spicy, mossy","Hazelnut, Cacao","Jasmine Sambac, Cedar","Ambroxan, Caramel, Moss","TriBeCabyBond No 9is a Oriental Vanilla fragrance for women and men.TriBeCawas launched in 2020. The nose behind this fragrance is Michel Almairac. Top notes are Hazelnut and Cacao; middle notes are Jasmine Sambac and Cedar; base notes are Ambroxan, Caramel and Moss.",0.658,0.4681,0.2235,"33519, 46066, 100445, 50384, 88761, 96818, 86065, 84302, 82798, 102514, 92867, 94951, 96028, 52197, 57879, 65321, 94948, 95995, 77473, 69541","33519, 54157, 62615, 11801, 46066, 50370, 6458, 43871, 4322, 54785, 53401, 51411, 40816, 31623, 37602, 52616, 46057, 64757, 51468, 70189",888874007123.0,Bond no.9 tribeca edp 100 ml (u),Bond no.9,247528.0,100.0,2475.3,eliteperfumes,2475.3,"Fiesta, Sexy, Viaje"
82793,Qimmah for Women,Lattafa,,,female,2022,57,Lattafa-Perfumes/Qimmah-for-Women,4.1312,564.0,United Arab Emirates,https://fimgs.net/mdimg/perfume/m.82793.jpg,https://fimgs.net/mdimg/perfume/375x500.82793.jpg,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Qimmah-for-Women-82793.html,3731,Autumn,Day,"vanilla, white floral, almond, sweet, warm spicy, tuberose, nutty, powdery, cacao, fruity","Almond, Coffee","Tuberose, Jasmine, Tonka","Vanilla, Cacao, Sandalwood","Qimmah for WomenbyLattafa Perfumesis a fragrance for women. This is a new fragrance.Qimmah for Womenwas launched in 2022. Top notes are Almond and Coffee; middle notes are Tuberose, Jasmine and Tonka; base notes are Vanilla, Cacao and Sandalwood.",0.5175,0.3557,0.819,"39681, 64211, 53193, 51826, 45476, 63601, 59388, 49342, 52256, 80183, 92517, 96597, 50768, 77498, 39358, 33238, 92075, 89458, 60489, 42254","75805, 76880, 78560, 39681, 70466, 83320, 88175, 93628, 25324, 707, 84309, 82590, 25807, 83483, 14982, 631, 89850, 83309, 56077, 84302",1LATQIMMAH100M,Lattafa qimmah edp 100ml mujer,Lattafa,16990.0,100.0,169.9,lodoro,169.9,"Casual, Especial, Sexy, Viaje"
69296,Cloud Intense,Ariana Grande,Cloud,Oriental Vanilla,female,2021,352,Ariana-Grande/Cloud-Intense,4.1646,1592.0,United States,https://fimgs.net/mdimg/perfume/m.69296.jpg,https://fimgs.net/mdimg/perfume/375x500.69296.jpg,https://www.fragrantica.com/perfume/Ariana-Grande/Cloud-Intense-69296.html,3725,Winter,Both,"sweet, musky, woody, amber, powdery, lactonic, vanilla, lavender, coconut","Lavender, Bergamot, Pear","Whipped Cream, Praline, Coconut, Vanilla Orchid","Cashmeran, Ambroxan, Musk, Woodsy Notes","Cloud IntensebyAriana Grandeis a Oriental Vanilla fragrance for women.Cloud Intensewas launched in 2021. Top notes are Lavender, Bergamot and Pear; middle notes are Whipped Cream, Praline, Coconut and Vanilla Orchid; base notes are Cashmeran, Ambroxan, Musk and Woodsy Notes.",0.5502,0.3822,0.66,"50384, 46066, 83995, 33519, 77799, 69714, 64941, 56260, 100205, 73531, 66100, 63264, 83692, 93089, 77573, 82594, 90387, 75114, 87476, 83872","50384, 51694, 70052, 52616, 33519, 25324, 31661, 62578, 707, 55805, 39970, 77799, 56062, 39681, 68664, 219, 62615, 43297, 1460, 31623",1ARICLOUDINTEDP100,Ariana grande cloud intense 2.0 edp 100 ml - mujer,Ariana grande,47990.0,100.0,479.9,lodoro,479.9,"Formal, Viaje"
48103,Good Girl Légère,Carolina Herrera,Good Girl,Oriental Floral,female,2018,253,Carolina-Herrera/Good-Girl-Legere,4.1504,3405.0,United States,https://fimgs.net/mdimg/perfume/m.48103.jpg,https://fimgs.net/mdimg/perfume/375x500.48103.jpg,https://www.fragrantica.com/perfume/Carolina-Herrera/Good-Girl-Legere-48103.html,3690,Autumn,Night,"sweet, white floral, lactonic, woody, citrus, amber, warm spicy","Ylang-Ylang, Mandarin Orange, Bergamot, Lemon","Tuberose, Jasmine, Orange Blossom, Bulgarian Rose","Dulce de leche, Praline, Tonka Bean, Cinnamon, Cashmirwood, Sandalwood, Musk, Amber, Patchouli, Cedar","Good Girl LégèrebyCarolina Herrerais a Oriental Floral fragrance for women.Good Girl Légèrewas launched in 2018. The nose behind this fragrance is Louise Turner. Top notes are Ylang-Ylang, Mandarin Orange, Bergamot and Lemon; middle notes are Tuberose, Jasmine, Orange Blossom and Bulgarian Rose; base notes are Dulce de leche, Praline, Tonka Bean, Cinnamon, Cashmirwood, Sandalwood, Musk, Amber, Patchouli and Cedar.",0.629,0.4914,0.4628,"39681, 65146, 60245, 50143, 76675, 75526, 74680, 70305, 63601, 50186, 92195, 92231, 50175, 70785, 56181, 413, 92622, 77367, 92075, 61769","39681, 25324, 707, 14982, 219, 43297, 29157, 611, 31666, 51488, 18453, 35561, 56077, 631, 55786, 485, 210, 65560, 1460, 50384",1565652204618.0,Carolina herrera good girl légère edp 80 ml (m),Carolina herrera,83990.0,80.0,1049.9,eliteperfumes,1049.9,"Especial, Fiesta, Sexy, Viaje"
1215,Moschino Funny!,Moschino,,Floral Fruity,female,2007,272,Moschino/Moschino-Funny,3.9954,7126.0,Italy,https://fimgs.net/mdimg/perfume/m.1215.jpg,https://fimgs.net/mdimg/perfume/375x500.1215.jpg,https://www.fragrantica.com/perfume/Moschino/Moschino-Funny-1215.html,3653,Summer,Day,"citrus, fresh, green, soft spicy, fruity, floral, woody, sweet, musky, powdery","Bitter Orange, Red Currant, Pink Pepper","Green Tea, Peony, Jasmine, Violet","Cedar, Musk, Oakmoss, Amber","Moschino Funny!byMoschinois a Floral Fruity fragrance for women.Moschino Funny!was launched in 2007. The nose behind this fragrance is Antoine Maisondieu. Top notes are Bitter Orange, Red Currant and Pink Pepper; middle notes are Green Tea, Peony, Jasmine and Violet; base notes are Cedar, Musk, Oakmoss and Amber.",0.4612,0.3561,0.641,"54419, 728, 50789, 1685, 485, 83, 69029, 87441, 72613, 44238, 49913, 60085, 19365, 2943, 2060, 29703, 30567, 28805, 36724, 59872","728, 485, 988, 611, 632, 6086, 8069, 5752, 1483, 147, 707, 253, 631, 210, 184, 209, 8442, 1733, 219, 83",MOSC2,Moschino funny edt 100 ml,Moschino,31990.0,100.0,319.9,silkperfumes,319.9,"Casual, Formal, Oficina, Viaje"
79938,Fabulo Intense,Maison Alhambra,,,unisex,0,104,Maison-Alhambra/Fabulo-Intense,4.1152,790.0,United Arab Emirates,https://fimgs.net/mdimg/perfume/m.79938.jpg,https://fimgs.net/mdimg/perfume/375x500.79938.jpg,https://www.fragrantica.com/perfume/Maison-Alhambra/Fabulo-Intense-79938.html,3647,Autumn,Night,"woody, almond, leather, vanilla, amber, aromatic, powdery, sweet, lavender, nutty","Lavender, Clary Sage","Bitter Almond, Vanilla, Orris Root","Leather, White Woods, Tonka Bean, Cashmeran, Amber","Fabulo IntensebyMaison Alhambrais a fragrance for women and men. Top notes are Lavender and Clary Sage; middle notes are Bitter Almond, Vanilla and Orris Root; base notes are Leather, White Woods, Tonka Bean, Cashmeran and Amber.",0.627,0.441,0.8773,"46513, 69859, 100477, 100810, 61305, 82841, 52543, 92659, 91009, 53853, 53846, 93661, 64604, 48427, 36595, 78948, 82472, 94172, 82810, 91885","75805, 72821, 34696, 64948, 79943, 13016, 79940, 79939, 65414, 40031, 79942, 67996, 61856, 64947, 81642, 29727, 70839, 1834, 17666, 68271",6291108735800.0,Maison alhambra fabulo intense hombre edp 80 ml (h),Maison alhambra,14990.0,80.0,187.4,eliteperfumes,187.4,"Especial, Fiesta, Sexy, Viaje"
46814,Oud Mood,Lattafa,,,unisex,0,311,Lattafa-Perfumes/Oud-Mood,4.0333,1682.0,United Arab Emirates,https://fimgs.net/mdimg/perfume/m.46814.jpg,https://fimgs.net/mdimg/perfume/375x500.46814.jpg,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Oud-Mood-46814.html,3640,Winter,Night,"amber, oud, woody, warm spicy, caramel, balsamic, rose, smoky, floral, sweet","Rose, Saffron, Pimento","Agarwood (Oud), Caramel, Floral Notes, Patchouli","Woody Notes, Amber, Resins, Incense, Musk","Oud MoodbyLattafa Perfumesis a fragrance for women and men. Top notes are Rose, Saffron and Pimento; middle notes are Agarwood (Oud), Caramel, Floral Notes and Patchouli; base notes are Woody Notes, Amber, Resins, Incense and Musk.",0.735,0.6054,0.8728,"50582, 31327, 26776, 39739, 66012, 53104, 47169, 64950, 63844, 63075, 74201, 78249, 69363, 63656, 30352, 56234, 64947, 44155, 37767, 81631","75805, 64947, 25807, 50582, 64948, 707, 1018, 1834, 27656, 219, 33519, 1825, 64949, 704, 13016, 28713, 68214, 34696, 631, 63062",LTTF3,Lattafa oud mood reminiscence edp 100 ml,Lattafa,12990.0,100.0,129.9,silkperfumes,129.9,"Especial, Fiesta, Sexy, Viaje"
